id;start_date;end_date;language
1;2021-02-24T12:51:37;2021-02-24T10:41:52;SPANISH
2;2021-02-23T17:41:48;2021-02-24T12:46:13;SPANISH
3;2021-02-24T08:37:07;2021-02-23T19:11:16;FRENCH
4;2021-02-23T23:54:38;2021-02-24T11:26:04;FRENCH
5;2021-02-24T09:24:56;2021-02-24T14:11:55;FRENCH
6;2021-02-24T03:17:17;2021-02-24T15:25:31;FRENCH
7;2021-02-24T05:02:37;2021-02-23T22:53:28;FRENCH
8;2021-02-24T03:58:50;2021-02-24T14:14:58;SPANISH
9;2021-02-24T02:39:59;2021-02-23T23:21:22;SPANISH
10;2021-02-24T10:52:03;2021-02-23T21:26:33;SPANISH
